content,tstamp,matching_terms,category
hot 100 fud crypting service 100 fud your files there are many fud services in hf but i hope you will like my service because i use a total unique crypter and thats why i said 100 fud here are the features i offer 1 i will crypt any type of file eg rats keyloggers stealers botnets and etc 2 i will bind it with any type of file you can give me the file or if it is a software give me the name i will get it 3 i will crypt it with totally unique key and stub 4 i will make it anti virtual pc and anti sandboxie 5 the file will bypass both scantime and runtime 6 your application will be fud from all antivirus 7 uses unknown and new methods 8 protects against debuggers 9 nt compression option 10 auto detect end of file data eof and save cover over 11 pe realignment option 12 rc4 random encryption 13 if you wish then i will help to spread it too ok those are the features ok i have to mention the payment also na so it is like this 1 for your first file it is 5$ 2 after that for the next files it is 4$ 3 if you do 4 files the 5th file is totally free 4 if you want to do more than 5 files then pm me you will get a discount 5 first customer who does 2 files will get the 3rd file for free ok now you need proof na here it is a scan results of a stealer before crypting file info report generated 14 7 2009 at 9 40 07 gmt 1 filename stealer exe file size 18 kb md5 hash 295db67abfc3078c1ad0b6f2d77e7f93 sha1 hash 97a4e28dd384392db78dffccae15a39ca1c9d234 self extract archive nothing found binder detector nothing found detection rate 19 on 24 detections a squared trojan pws win32 agent ik avira antivir tr spy agent cccr avast win32 trojan gen other avg dropper agent mgq bitdefender trojan generic 1625648 clamav trojan agent 117106 comodo trojware win32 agent cccr dr web trojan siggen 2245 ewido f prot6 w32 dropper ahhs exact dropper g data trojan win32 agent cccr a ikarus t3 trojan pws win32 agent kaspersky trojan win32 agent cccr mcafee spy agent ef trojan malware hash registry nod32 v3 win32 psw agent nly norman trojan w32 agent mosq panda quickheal trojan agent cccr solo antivirus sophos mal generic e trendmicro vba32 trojan dropper win32 resgen virusbuster trojan agent lxdw scan report generated by if you want more details post it here,2009-07-14 10:02:00+00:00,['botnet'],supply
buying irc bots hello i am buying 200 irc bots or more for ddos and i have my own chnl and such and my rates are 0 15$ bot and please pm me for aim or such and also i would prefer to do deals with a high rep or a hf 1337 member and also please post in my thread before u pm me or u will me ignored and the bots have to be stable,2009-07-20 05:50:00+00:00,['ddos'],demand
selling zombies i'm not sure if this is allowed in this forum or if this is the right place but i've built my own botnet coded it and everything you can either pay $0 25 zombie for me to upload your server to it and run it i will still have the zombie but you will also or you can pay $0 50 a piece for me to upload the server to it and remove my server you have the zombie solely for yourself if you would like to use the botnet i've built then we could work something out it's fud and works well so far it's a work in progress but it can be updated and you can run executables on it,2009-07-23 09:38:00+00:00,['botnet'],supply
click fraud give its not technically click fraud but its good enough got a way to make some money by just visiting a website can someone with a botnet visit a site for me ill pay 50 of my cash out via paypal please pm me or add on msn m13rz live com,2009-07-24 06:15:00+00:00,['botnet'],demand
selling 4 linux boxs mostly used for ddos if you wanna contact me leave a message or add me at qrenogadeq hotmail com,2009-07-28 09:34:00+00:00,['ddos'],supply
selling java botnet as the title says selling at $$make me anoffer$$ pm me or post in here paypal only i go last,2009-07-29 07:35:00+00:00,['botnet'],supply
selling botnet crypter gfx card and more sorry i forgot to mention i take alertpay and paypal,2009-07-30 03:16:00+00:00,['botnet'],supply
selling 3 ddos linux boxs only got 3 left guys im willing to sell cheap best tools for ddos only pm me or add me at qrenogadeq hotmail com hey guys leave offers or contact me on emial only 2 left,2009-07-31 01:27:00+00:00,['ddos'],supply
selling bots cheap look inside selling around 50 bots for $6 50 payments will be made through paypal 50 bots for around $6 50 very good deal all of my bots are mirc based btw no hostbooter shit,2009-08-02 01:41:00+00:00,['booter'],supply
selling hotmail youtube facebook myspace accounts and phising pages lately i've been doing alot of phising keylogging and i seen a few posts on this and thought meh might as well facebook have a limited amount of 40 myspace have a limited amount of 20 hotmail have a limited amount of 15 twitter have a limited amount of 15 pinoyhenyo have a limited amount 5 also giving out a little service for every ddos ill be charging 10$ max time 5hours or ill sell a linux unix box for 50$ for a unlimited time and dont have to pay monthly thanks pm me or contact me on email qrenogadeq hotmail com,2009-08-03 01:38:00+00:00,['ddos'],supply
selling bots for hf leet selling 80 cerberus rat bots and 30 metus delphi bots for hf leet i can easily get over 50 delphi bots for you but i don't have a crypter if you want to crypt it so i can spread it for you then be my guest btw i do not use update command i sell you the direct no ip linked to the bots this way it's ensured that you get the amount you want i don't trust update functions in any rat botnet pm me if you want to buy thank you very much,2009-08-12 03:24:00+00:00,['botnet'],supply
buying installs hello im lookin to buy some installs that work with the new ddoser 3 4 i have found that when people remote download install the bot it will show up in my booter then 5 min later go away or something pm me if u lookin to sell,2009-08-14 02:41:00+00:00,"['ddoser', 'doser', 'ddos', 'booter']",demand
buying up to 500 bots would like to buy a botnet preferably metus will pay via paypal send me a pm,2009-08-15 03:30:00+00:00,['botnet'],demand
b paying $25 for experienced hostbooter to set me up hey i'll pay $25 usd for someone to set me up to be able to hostboot on teamview will pay for a decent hostbooting program too want to buy a ton of bots too after i get it set up post here please also looking to buy a program to take kids accounts on xbox live using their ip address edit found someones mods can close this,2009-08-16 02:05:00+00:00,['booter'],demand
looking to buy alot of bots for ddoser 3 4 hey guys i am looking to buy alot of bots for my ddoser thank you aim miamixboi305,2009-08-18 06:22:00+00:00,"['ddoser', 'doser', 'ddos']",demand
selling ddoser 3 4 dns w 700 bots make an offer upon my dns 100$ for it all including ddoser 3 4,2009-08-21 05:17:00+00:00,"['ddoser', 'doser', 'ddos']",supply
buying dark or ddoser bots i am offering $0 03 for each bot remote downloaded or updated someone can do thats $3 for 100 anyone wanna help me out 3 peace,2009-08-23 02:22:00+00:00,"['ddoser', 'doser', 'ddos']",demand
selling softwares and scripts i am selling many softwares which include hacking softwares antiviruses nulled scripts dosers etc everything will be provided with keys i e everything is full version some softwares are avast pro edition winzip 12 pro advanced system care pro microsoft office enterprice edition compressed to 1 5 mb nero 9 xilisoft mp4 and 3gp video converters revenger rat a doser created by me an sql injector sms bombers vbulletin nulled script payment will be thru paypal any1 interested can contact me at hack rock11 yahoo com cenaj20 ymail com,2009-08-23 06:39:00+00:00,['doser'],supply
cracking d link router password i'll pay nice amount for who ever can crack this password on my router img http img194 imageshack us img194 7423 21535591 jpg img it's my next doors nebors router so i can't reset it so if you can help me crack it i'll pay good amount via paypal as i'm trying to set up my first botnet but can't because i can't port fowards anyways thanks for taking your time to read and my contact information is below msn jaxed237 live com pm me on hf anyone can crack it really need this done,2009-08-24 07:28:00+00:00,['botnet'],demand
selling ddoser 3 4 bots let me know how many you need message me with your spam 15cent per 33 paypal only,2009-08-25 04:33:00+00:00,"['ddoser', 'doser', 'ddos']",supply
i need to buy bots i have ddoser 3 4 i need bots i need alot if u dont have alot send me mess w how much u can do looking for at least 300 aim me at itzm3scope or pm me no sammers,2009-08-27 01:44:00+00:00,"['ddoser', 'doser', 'ddos']",demand
selling dns with 100 dark ddoser bots selling dns with 100 dark ddoser bots have no use for them if anyone wants to buy contact me via aim xtayi0r,2009-09-02 07:45:00+00:00,"['ddoser', 'doser', 'ddos']",supply
buying bots hey guys i'd like to buy some bots and a botnet with an ircd server i got paypal,2009-09-04 05:03:00+00:00,['botnet'],demand
i need 50k buy virgin botnets victoire hello everyone as the title says i need to buy more than 50k virgin botnets the imteresados send proposals by pm and the screenshot,2009-09-04 10:39:00+00:00,['botnet'],demand
buying bots fast i would like to buy some bots installs for my ddoser 3 4 i don't want other people to have the same bots i want them stable reasonably cheap i also have 3 steams for trade for a reasonable amount of bots and have some logs from firefox and some 700 emails so pm or aim me pm for aim,2009-09-04 12:59:00+00:00,"['ddoser', 'doser', 'ddos']",demand
irc channel spots with pri bot i'm currently selling spots on my irc server this means you will get your own channel and your own bot this is a private bot with downloader update visit filezilla stealer spread p2p infos die cd keys steam stealer stealer screencapture hhtpflood supersynx ddos usb spread very stable this bot is also fud price is $15 per month with unlimited bots per channel payment paypal alertpay contact aim winnyth3pooh if you have any questions please feel free to ask them thanks,2009-09-09 03:37:00+00:00,['ddos'],supply
im looking to buy bots updates for ddoser im looking to buy around 100 p m me and ill give you my aim,2009-09-11 01:22:00+00:00,"['ddoser', 'doser', 'ddos']",demand
selling off shore hosting cheap here at delicious hosting we serve unlimited off shore hosting for cheap we offer unlimited disk space and bandwidth the first 5 people to buy hosting will have their costs reduced to 10$ a month for as long as you have the site and customers after that will have to pay 25$ for unlimited disk space and bandwidth we offer help to the first five customers with forums in case you don't know how to set up forums ftp accounts unlimited email accounts unlimited ddos filtering so no down time without warning we have monthly backups rules 1 no porn of anyone under 18 2 no botnets of any kind or phishing allowed linking to anything is fine just no showing pictures on the site to buy please contact skype forsakenjenkins email forsakenx live com msn forsakenx live com if you have anymore questions please contact the contact info above,2009-09-14 03:45:00+00:00,"['botnet', 'ddos']",supply
selling bots installs 5 6 cents each hello i have tons of bots on usually tons to me is 350 as i'm writing this i have 339 i use ddoser 3 6 i install your exe on bots your exe must not be a ddoser 3 x since it will not work it is your responsibility to make sure your exe works and it's decently undetected don't come flaming me if you get only quarter of your bots if it's like 15 23 this is how it works you pm me you get my msn you add me you say how many bots you want i'll get a calculator and tell you how much may go as low as 4 cents each i tell you the price then i give you my paypal link to pay me you pay me then give me your exe link example virus com virus exe i let you teamview me you watch me select the amount of bots you bought and i download your exe on them and you enjoy mmk,2009-09-14 07:21:00+00:00,"['ddoser', 'doser', 'ddos']",supply
buying bots read below hi guys i do have a small undetectable software that is used to create msn accunts 2 3 times a day and i need bots to set it on so im eager to buy your bots you will still have them i dont use ddos spam or something i will set my exe and will live independently the more you have the better for you start with smaller amounts if you want earn on your bots today icq 283080 or post here your contacts and amount,2009-09-14 09:34:00+00:00,['ddos'],demand
selling ddos shells hello i am selling shells hosted off my linux dedicated server the shells can be used to ddos with the servers bandwidth i wouldn't recommend it for taking down websites but it takes down people instantly it is highly beneficial in online games i am willing to discuss this via msn ventrilo skype team speak my msn is xestrox hotmail com,2009-09-16 02:05:00+00:00,['ddos'],supply
selling my collection of botnet selling my botnet here is my firts botnet scanned with kapersky avg no virus for the config add me on msn i have more botnet 8 others if you are interested add me on msn sagitarius hotmail fr bye,2009-09-16 04:20:00+00:00,['botnet'],supply
good bot source to buy i'm generally looking for a good bot source to buy spending 100$ it seems every public bot source people say yea this blows no wonder it's public it sucks shit like that then the only private ones i see actually being sold by trustworthy people are zeus barracuda etc the ones that cost upwards of 1000$ and are used for hardcore bot herders looking to net a significant gain of income from said bot source i'm looking for a general bot source i used to use rx way back in the day and things just worked on it the thing lacking was the spread and updated features to today's standards i've been using imbot lately but it's not currently that good as the spreading features are outdated lacking and all in all not working very well the best way is to probably yes code one yourself that takes awhile and seems to be an impossible task for the non programmer as i'm currently taking a class right now for it so any source's anyone has used one with some sort of ddos though not the main focus a good solid stable source that has some small form of usb p2p spread imbot focused on the spread which in turn made a mediocre bot that is okay many of the features have bugs if you know of one please let me know thanks,2009-09-17 03:44:00+00:00,['ddos'],demand
botnet bins i am selling botnet bins thats the exe for 5$ a bin very reasonable price its fud and these are the options code,2009-09-17 07:26:00+00:00,['botnet'],supply
bots for sale added botnet hosting setup because you put so many smilies this post is cool,2009-09-19 01:01:00+00:00,['botnet'],supply
buying booter hey guys i am willing to buy a good booter aim me agentsockets thanks please,2009-09-20 04:54:00+00:00,['booter'],demand
where to buy good bin i know this should be posted in the buying section but i doubt anyone on hf would sell me a good bin i'm willing to pay up to 100$ just for the bin i just mainly need a stable bot with usb spread stability is key it's my main focus right now usb spread some form of ddos update download of course encrypted commands would be better p2p spread would be helpful that's mainly it stability is the key factor i just got done using a stable bot until i learned it did not infect vista if you know of anyone who sells aim me at stoneyhrm or post pm me,2009-09-20 08:37:00+00:00,['ddos'],demand
ddoser 3 6 cheap i recently bough ddoser and i never use it because i use my irc sever so i'm selling the dns and the ddoser client current price $15 usd i have proof if needed,2009-09-21 03:44:00+00:00,"['ddoser', 'doser', 'ddos']",supply
4sale fagex net database 7 15 09 selling for 20 dollars message me via msn ddos root localhost serious buyers only no skiddies,2009-09-26 10:21:00+00:00,['ddos'],supply
fud your server $1 00 im offering my offer to make your server fully fud for $ 50 per file and free for leet members payjerks file info report generated 28 9 2009 at 4 49 09 gmt 1 filename crypted exe file size 116 kb md5 hash a19366b6c793339a957f7dd4f413d297 sha1 hash 83b7fa0966bd80fed5fb6b46257ab3ca16290e73 self extract archive nothing found binder detector nothing found detection rate 0 on 23 detections a squared avira antivir avast avg bitdefender clamav comodo dr web ewido f prot6 ikarus t3 kaspersky mcafee nod32 v3 norman panda quickheal solo antivirus sophos trendmicro vba32 virusbuster zonerantivirus scan report generated by some more info scantime runtime all windows tested with cerb pi bifrost ddoser 3 6 istealer stupid stealer i will bind however many files you want if u buy more than one file we can work a special price maybe 4 files for $1 50 etc msn sadrules live com,2009-09-28 02:46:00+00:00,"['ddoser', 'doser', 'ddos']",supply
legit4sale sale complete host booter setups and bot sales programs and services legit4sale shop sale for more information and updated prices and products go here products for sale metus delphi setup ddoser 3 4 setup metus gb setup xr v2 1 setup biozombie setup metus bot sales services setup 500 downloads for $20 fud crypting i will be making this look more professional eventually so chill out,2009-09-28 09:54:00+00:00,"['ddoser', 'doser', 'ddos', 'booter']",supply
lots of items avalible the following is a short list of stuff i have available for sale if you see something you like make me an offer i'm willing to bargain i am not interested in xbl wow runescape steam etc kthnx pm me or email me eip removethis 41414141 at gmail dot com steam accounts ask about particular games c99 r57 shells cpanels godaddy accouts etc ftp accounts email accounts hotmail gmail ddos service low profile targets only exploit packs fire pack mpack ice pack etc unspammed email lists game keys other accounts demonoid ebay amazon youtube myspace facebook etc,2009-09-29 09:14:00+00:00,['ddos'],supply
want to buy xr bots or metus delphi 2 8 bots paypal hi i'm new to this forum and so far i really like it i just got the xr booter 3 1 from split and i was wondering if any one would like to start me off by selling me some bots i also have a metus booter,2009-10-10 05:01:00+00:00,['booter'],supply
buy botnet source buy i can make you the botnet on c if u want with some cool functions but if all u going to give me is rep no thx its going to be fud coz it will use windows libraries and very small on size so pme or add me on q1993p yahoo gr,2009-10-15 01:52:00+00:00,['botnet'],demand
metus bots ddoser 3 4 bots for sale i'am not selling the ddoser 3 4 bots yet waiting for more to come in just started to spread img http i715 photobucket com albums ww157 freshlikeaqua q jpg img the highest i ever seen was about 20 metus 2 1 bots img http i715 photobucket com albums ww157 freshlikeaqua a jpg img,2009-10-17 09:43:00+00:00,"['ddoser', 'doser', 'ddos']",supply
slasher's knowledge service wazzzup im slasher and i can teach you about the next few things sqli xss programming php c etc botnets rats settings up botnets getting bot's keeping bots securing bots everything there is $5 each you get a detailed report about it get to ask questions and get 5 bots if asking about it i know lot's about all the subjects up there i can help you explain over teamviewer and msn i will go first for trusted members otherwise you will have to go first payment is by paypal only maybe alertpay my msn is sl45h3r hotmail com,2009-10-18 02:55:00+00:00,['botnet'],supply
need fud botnet hi all i need fud botnet work with irc server full features payment method webmoney msn nrj hotmail it,2009-10-18 03:08:00+00:00,['botnet'],demand
paying someone to set up ddoser 3 6 crack i already have downloaded 3 6 and that other program with gem sources installed just stuck at where to input everything and type shit payment a couple bucks by paypal it should be a quick and easy thing i just need it cracked so i can use it,2009-10-18 09:30:00+00:00,"['ddoser', 'doser', 'ddos']",demand
buying xr v3 1 bots i'm looking to buy some bots the most ill pay is 10$ i need some bots for my hostbooter v3 1 also known as the xr 3 1,2009-10-19 10:00:00+00:00,['booter'],demand
im buying bots paypal i neen metus or xr maybe ddoser,2009-10-22 08:13:00+00:00,"['ddoser', 'doser', 'ddos']",demand
i want buy ddoser bots and want spread it i have ddoser 3 6 i want buy 200 bots for it i have my dns i want it to be strong bot with fast conniction and i want some body how spread it to me pm me pls the cost and your msn,2009-10-24 04:43:00+00:00,"['ddoser', 'doser', 'ddos']",demand
buying botnet setup configuration hosting crypting bot updates dear everyone i want someone to setup a botnet source for me and configure it to work for me i want it fully crypted and i want it's host to be good i would also want to buy 10k 20k updates note i also wanted always to do a dns botnet where i can allow people to have accounts using dns where they can have functions to d dos and even spread into their dns with a custom gui id pay good for this i also need spreading after all this,2009-10-24 07:44:00+00:00,['botnet'],demand
selling my botnet setup and dns close thissssssssssssssssss,2009-10-25 02:32:00+00:00,['botnet'],supply
fud service cheap i'm doing a fud service for a low price its 100 fud for at least a good amount of time so here are some pictures of my stubs and i will also sell my package and a full tutorial how to use it because the crypter is free i hexed the stub that i got with it and made it fud and it works tested to this is the report i got back from novirusthanks org php code prices 1 crypt $2 00 fud 2 crypt $3 00 3 crypt $3 50 spreading service 1 week $10 00 the most peers and seeds ive had on a bot was 500 2 weeks $15 00 3 weeks $20 00 for spreading botnets i can get you 200 a day microsoft phisher runescape phishers wow phishers any phisher you want prices basic phisher $3 00 custom phisher $5 00 basic web phisher $4 95 custom web phisher $10 00 legend basic hand made with your back ground custom special graphics of your choosing custom loading bars c custom web phisher custom everything 4 pages default your choice of gui fud package custom fud package $8 99 custom fud package with endless stubs if the old one wears out $15 00 custom fud package w 2 fud stubs $11 00 pay transfer all payments will be sent to me via paypal you can visit my website what happens if you scame me 1 i will contact ic3 gov and send your bot 2 track you down get your info and dox you 3 if i get your phone number you will be text spammed msn irap3iv2 live com contact me for further details,2009-10-25 05:53:00+00:00,['botnet'],demand
unfreezing msn accounts hi there i have developed an unfreezer in java i am willing to unfreeze any account you may have for $0 50 the reason this is so cheap is because it must be done on login every time because most bots run 24 7 if you would like the unfreezer program then this is $20 the source is $25 i am trusted with my sales in my msn bot first released java botnet ect you can pm or talk with me on msn nathanroys hotmail co uk,2009-10-25 06:33:00+00:00,['botnet'],supply
selling bots botnet setup warn,2009-10-26 09:35:00+00:00,['botnet'],supply
botnet buyer i would like to buy a botnet and the instructions on how to drive the bots just to make some experience give me quotes,2009-10-27 10:13:00+00:00,['botnet'],demand
selling 500 ddoser bots selling 500 ddoser bots $40 paypal only anyone interestered,2009-10-27 10:54:00+00:00,"['ddoser', 'doser', 'ddos']",supply
selling dark ddoser 3 0 login to get dark ddoser 3 0 you need the dns and login info how much you sellin it for and is there anybots on it,2009-10-28 01:06:00+00:00,"['ddoser', 'doser', 'ddos']",supply
$5 http botnet setup n0ise strike warbot etc w onshore offshore http botnet setup for only $5 you have a cpanel already spoiler $20 month offshore hosting $10 extra com domain $0 free bot building payment methods paypal alertpay pm me to buy or if you have any questions note i no longer support zeus it is now banned on hackforums,2009-10-28 03:30:00+00:00,['botnet'],demand
buy botnet source i have 5$ witch botnet source you can sell me with 5$ thanks,2009-10-30 09:49:00+00:00,['botnet'],demand
which irc bot should i buy well i have $40 to spend and i need a good stable irc bot with ddos and spreading features thanks,2009-10-31 07:16:00+00:00,['ddos'],demand
need botnet setup hi i am in the need of botnet setup i'm willing to give 1 megaupload premium account 3 premium accounts 8 brazzers accounts add me on msn if interested xtrccc live dk,2009-10-31 10:55:00+00:00,['botnet'],supply
selling legit ddoser dns this a no ip dns that i never used i will also provide you payment infos pm me if you want to buy or post your offer here i won't accept any trade only paypal money best regards,2009-11-04 01:19:00+00:00,"['ddoser', 'doser', 'ddos']",supply
sell botnet 680 bots selling botnet with a lot of bots if you interested and you are not a scammer write me,2009-11-06 08:57:00+00:00,['botnet'],supply
buying an ddos attacker bump,2009-11-07 08:58:00+00:00,['ddos'],demand
botnet sources for sale i am selling over 300 botnet sources for only $5 00 with these botnet sources you can do much cool shit with it i've gotten these botnets over the month and have no use for them so i am selling them some examples of botnets zeus rngbot n173 aim msn spread ragebot many rxbot additions message me on here to buy it,2009-11-08 10:54:00+00:00,['botnet'],supply
selling 300 botnets sources i am selling multiple botnet source codes include rxbot mods nzm zeus and couple others you can message me on here to get certain prices of them some will cost more than other if you would like to see if i have one please message me on here and i will get back to you,2009-11-08 11:05:00+00:00,['botnet'],supply
selling bots im selling bots yes i mean the dyndns com and no ip com heres a small pic of them but i have more if you want me to show you over team viewer img http i719 photobucket com albums ww193 swordy untitled 2 jpg img i found that their was over 33 passwords in ddoser tv me for proof i'am also selling a log thats over 327 19 kb and selling other stuff just pm or post if anyone wants to buy just tv me here's my tv 356 246 247 1144 bump,2009-11-09 01:12:00+00:00,"['ddoser', 'doser', 'ddos']",supply
paying services to provide ddos attack hello guys i pay between 120 dollars and 140 dollars each day to ddos a website i need to let them down for more than 1 month if you are interested please pm me or add me on aim msn or icq aim whitecatsch msn white cats ch live fr icq 550043376,2009-11-09 12:53:00+00:00,['ddos'],demand
buying irc bots darkddoser bots pay 10$ hi i am need irc bot darkddoser bots my send 10$ paypal how much bot,2009-11-10 01:44:00+00:00,"['darkddoser', 'ddoser', 'doser', 'ddos']",demand
buying botnet setup 200 300 bots hello everyone title say everything im buying botnet setup pm me with price thnx,2009-11-10 01:45:00+00:00,['botnet'],demand
sell ddoser 3 6 dns no ip sell i am selling my ddoser 3 6 dns this dns is in demons database which will have access to all future updates this dns has no bots on it the dns will give u access to download your bot open the booter and receive updates from ddoser staff this dns will be a no ip if you have any questions please ask price is $20 paypal or alertpay is accept img http i37 censored com dffwvn jpg img,2009-11-10 11:54:00+00:00,"['ddoser', 'doser', 'ddos', 'booter']",supply
sell ddoser 3 6 dns no ip sell i am selling my ddoser 3 6 dns this dns is in demons database which will have access to all future updates this dns has no bots on it the dns will give u access to download your bot open the booter and receive updates from ddoser staff this dns will be a no ip if you have any questions please ask price is $20 paypal or alertpay is accept img http i37 censored com dffwvn jpg img,2009-11-10 11:54:00+00:00,"['ddoser', 'doser', 'ddos', 'booter']",supply
selling dedecated servers paypal only hello hf laser1 dedicated server features 2 8 ghz dual core processor 4 gb ddr3 ram 160 gb hdd getting more 100 meg connection unlimited bandwidth plans $60 monthly $180 3 months $240 6 months $350 1 year you may use it for botnets and any other things except for porn fraud contacts msn laser101 live com,2009-11-11 02:33:00+00:00,['botnet'],supply
buying ddoser 3 6 dns with more 250 bots on it i have the money i'll spend 60 dollars,2009-11-11 07:56:00+00:00,"['ddoser', 'doser', 'ddos']",demand
don't fucking buy from aciid i hate this fucker my friend bought the full source and everything for his persistance booter shit that he copy pasted so he wouldn't fucking help the guy so my friend let me see if it worked for me so i was messing around in source code and stuff and aciid told him before just run the client thats in the files i ran it too to see if i got the same error as my friend it's fucking infected up the ass with the win32 sality shit and now all my exes are infected it was backdoored with some other shit too don't fucking trust aciiid want proof fuck you i have no time for proof because i'm trying to fix my fucking computer from this scammer,2009-11-12 02:20:00+00:00,['booter'],demand
buyin booter buying xr 3 1 with fud bot and 40 50 bots or will buy on an irc server for 20 dollars whatever i can get with my last 20 aim tyler85cj,2009-11-12 02:58:00+00:00,['booter'],demand
buying ddoser 3 6 w bots i'll sell the dark ddoser but i cant give u bots i'll seel for 25us aim me on zee1425,2009-11-12 08:39:00+00:00,"['ddoser', 'doser', 'ddos']",demand
